,This is public NIH award data requested using the NIH RePORTER API on 3/13/25. ,,
,appl_id,project_serial_num,fiscal_year
838,10638917,CA279959,2023
839,10922862,CA276212,2024
840,10735146,CA276212,2023
841,10713745,CA282178,2023
842,10922759,CA282178,2024
843,10920465,CA275761,2024
844,10710883,CA275761,2023
845,10919803,CA284268,2024
846,10866550,CA271603,2024
847,10908136,CA271603,2023
848,10738545,CA284268,2023
849,10715852,CA282143,2023
850,10914934,CA276284,2024
851,10913584,CA276134,2024
852,10914286,CA272669,2024
853,10917297,CA277605,2024
854,10894084,CA282516,2024
855,10831217,CA260831,2023
856,10660348,CA273206,2023
857,10635361,CA255116,2023
858,10638071,CA280088,2023
859,10748123,CA272669,2023
860,10735720,CA272763,2023
861,10736036,CA277605,2023
862,10752584,CA284591,2023
863,10718129,CA282673,2023
864,10720110,CA283045,2023
865,10991101,CA255116,2024
866,11114091,CA276207,2024
867,10659649,CA270235,2023
868,10731525,CA276134,2023
869,10716358,CA282704,2023
870,10729432,CA283839,2023
871,10718337,CA282668,2023
872,10737168,CA272757,2023
873,10889411,CA260698,2023
874,10913518,CA282082,2024
875,10915587,CA284630,2024
876,10916199,CA276265,2024
877,10914508,CA262623,2023
878,10916193,CA274981,2024
879,10906787,CA273206,2024
880,10918332,CA276066,2024
881,10915561,CA282664,2024
882,10919834,CA262623,2024
883,11061621,CA255116,2024
884,10910604,CA261888,2023
885,10914872,CA282704,2024
886,10909301,CA284591,2024
887,10914899,CA282928,2024
888,10913294,CA269393,2024
889,10914808,CA290247,2024
890,10913420,CA281759,2024
891,10916529,CA276207,2024
892,10917595,CA260900,2023
893,10928807,CA260698,2024
894,10923630,CA269685,2023
895,10594288,CA269393,2023
896,10566264,CA276265,2023
897,10680932,CA274981,2023
898,10734182,CA284630,2023
899,10735046,CA276066,2023
900,10736479,CA276207,2023
901,10732195,CA276040,2023
902,10716949,CA282928,2023
903,10713097,CA282516,2023
904,10886058,CA271095,2024
905,10846242,CA077955,2023
906,11122878,CA272757,2023
907,11063514,CA272891,2024
908,10799622,CA260900,2024
909,10735679,CA276284,2023
910,10695284,CA290247,2023
911,10658586,CA271095,2023
912,10712963,CA282082,2023
913,10712432,CA281759,2023
914,10718531,CA282664,2023
915,10881876,CA255116,2024
916,10916453,CA272763,2024
917,10913312,CA280088,2024
918,10916444,CA282668,2024
919,10915589,CA282673,2024
920,10908645,CA283839,2024
921,10915043,CA276040,2024
922,10906872,CA282143,2024
923,10929960,CA270235,2024
924,10918340,CA283045,2024
925,10978823,CA273444,2023
926,10933008,CA269685,2024
927,10636058,CA279129,2023
928,10916181,CA279129,2024
929,10931408,CA282162,2024
930,10714728,CA282162,2023
931,10655208,CA272490,2023
932,10913369,CA272490,2024
933,10912796,CA277045,2024
934,10736486,CA277045,2023
935,10911788,CA278819,2023
936,10635291,CA279594,2023
937,10734570,CA276352,2023
938,10635099,CA278819,2023
939,10911785,CA279594,2024
940,10912036,CA276352,2024
941,10999922,CA278819,2023
942,10736206,CA273723,2023
943,10911320,CA273723,2024
944,10909321,CA275945,2024
945,10735971,CA275945,2023
946,10585553,CA261457,2023
947,10908263,CA261457,2024
948,10907660,CA282040,2024
949,10735695,CA275789,2023
950,10762689,CA278617,2023
951,11064391,CA260357,2024
952,10907008,CA278617,2024
953,10907737,CA282735,2024
954,10904938,CA275789,2024
955,10898981,CA260357,2023
956,10714811,CA282040,2023
957,10795658,CA260357,2024
958,10719487,CA282735,2023
959,10906175,CA276652,2024
960,10737279,CA276652,2023
961,10905013,CA282939,2024
962,10716512,CA282939,2023
963,10901937,CA282284,2024
964,10902031,CA271443,2024
965,10718609,CA282284,2023
966,10660885,CA271443,2023
967,10900631,CA275828,2024
968,11063373,CA275828,2024
969,10736039,CA275828,2023
970,10733734,CA276240,2023
971,10899678,CA273932,2024
972,10735947,CA273932,2023
973,10899640,CA276240,2024
974,10898828,CA282223,2024
975,10715401,CA282223,2023
